Point_Index,VER_X,VER_Y,NOR_X,NOR_Y,Euclidean_Distance_m,VER_Track_Distance,NOR_Track_Distance,Track_Distance_Gap_m,VER_Speed,NOR_Speed,Distance_Leader
339,-5962.0,1898.0,-5916.0,1856.0,62.289646009589745,2881.277262040956,2881.0703851443536,0.20687689660235264,79.91666666666667,75.07054129674125,VER
340,-5970.7907649810395,1904.8701570374003,-5923.126221715143,1863.8618857028746,62.87755563468228,2882.225277777777,2881.933333333334,0.2919444444432884,79.0,74.0,VER
341,-5998.755751243286,1918.6049825953125,-5970.055829943661,1902.0128921938383,33.15091169930888,2887.2919444444437,2886.6000000000004,0.6919444444433793,76.0,70.0,VER
342,-6007.0,1921.0,-5973.0,1904.0,38.01315561749642,2888.4494429574193,2886.919559107113,1.5298838503063052,75.16,69.71666346666666,VER
343,-6034.705618754659,1928.5101734697969,-6003.620867257815,1919.9728869822916,32.23580363803985,2891.3474999999994,2891.0000000000005,0.347499999998945,73.0,66.0,VER
344,-6042.0,1930.0,-6025.0,1926.0,17.46424919657298,2892.0409704850563,2894.193045801857,-2.1520753168006195,72.29805026441444,65.11499904,NOR
345,-6100.0,1932.0,-6027.999807092594,1926.7114652715002,72.19415750791907,2897.502159524868,2894.6111111111118,2.89104841375638,66.44846913453475,65.0,VER
346,-6104.344975398721,1931.6289047375235,-6136.551147974311,1929.061958407437,32.308307993923876,2897.929166666666,2906.7000000000007,-8.77083333333485,66.0,68.0,NOR
347,-6130.0,1928.0,-6170.0,1916.0,41.7612260356422,2900.533076245837,2909.3798300708468,-8.846753825009728,67.7124992,69.7125024,NOR
348,-6148.901273458532,1923.2554501608483,-6197.991208134006,1901.9231574143093,53.524652266655146,2902.529166666666,2911.4333333333343,-8.904166666668516,69.0,71.0,NOR
349,-6181.0,1911.0,-6231.0,1883.0,57.30619512757761,2905.990990406706,2914.2363726821513,-8.245382275445536,70.26428525714286,73.140628,NOR
350,-6199.827083980822,1901.5452516405232,-6250.78132186372,1868.8299799105641,60.55264950926629,2908.051388888888,2918.18888888889,-10.137500000001637,71.0,76.0,NOR
351,-6220.0,1890.0,-6261.0,1859.0,51.40038910358559,2910.449602232023,2920.4278515418855,-9.978249309862349,72.67142765714286,79.031256,NOR
352,-6244.7882503592045,1873.2069080045733,-6294.0,1825.0,68.88905778184025,2913.8847222222216,2925.2713074772205,-11.386585254998863,75.0,85.281256,NOR
353,-6257.0,1862.0,-6297.782382825758,1820.559573014807,58.1421683261106,2915.1303861156784,2925.833333333334,-10.702947217655492,75.9666688,86.0,NOR
354,-6306.0,1810.0,-6321.724337322633,1789.1272807783885,26.132837426123043,2919.105819269561,2929.7888888888897,-10.683069619328762,78.96666453333333,89.0,NOR
355,-6306.426286196043,1809.5230845473159,-6324.0,1786.0,29.362747206001508,2919.151388888888,2930.221575986025,-11.070187097137023,79.0,89.4250048,NOR
356,-6334.0,1771.0,-6367.0,1718.0,62.433965115151864,2927.2944981399323,2938.326005480943,-11.031507341010638,86.49030887362817,96.92499839999999,NOR
357,-6335.974387320222,1767.8492417711354,-6367.699171139575,1716.7239287281404,60.16859265537866,2927.875555555555,2938.411111111112,-10.535555555557039,87.0,97.0,NOR
358,-6355.436826335366,1737.503049655853,-6409.0,1639.0,112.12432548083015,2932.008888888888,2942.967634224306,-10.958745335417916,93.0,103.27999744,NOR
359,-6369.0,1714.0,-6417.487333265181,1622.792915198754,103.29450036236422,2934.06407198513,2944.2444444444454,-10.18037245931555,94.60416533333333,105.0,NOR
360,-6405.824958092853,1644.6691941819886,-6438.921547992253,1580.507466697317,72.1949550646464,2938.5422222222214,2952.9244444444453,-14.382222222223845,98.0,112.0,NOR
361,-6414.0,1629.0,-6447.0,1565.0,72.00694410957877,2939.5771303364904,2955.5503220627847,-15.973191726294317,99.10999808,116.812496,NOR
362,-6445.279327400491,1568.884940028097,-6473.555851433407,1514.8603151050095,60.977224514275626,2944.3199999999993,2961.391111111112,-17.071111111112714,104.0,127.0,NOR
363,-6539.0,1393.0,-6483.0,1497.0,118.1185844818672,2973.448139706003,2963.4741067127206,9.974032993282435,137.1187472,128.4249984,VER
364,-6546.217684618532,1380.3130113532452,-6514.0,1439.0,66.94880012818396,2975.208888888888,2970.189518320091,5.019370568797058,139.0,132.9249984,VER
365,-6583.956880680754,1314.762308105151,-6539.611346603462,1393.1228159543562,90.038300644701,2983.4866666666658,2973.391111111112,10.095555555553801,149.0,135.0,VER
366,-6600.0,1287.0,-6581.0,1320.0,38.07886552931954,2986.856167086088,2978.034028493081,8.822138593006912,152.609372,141.5812464,VER
367,-6645.0,1210.0,-6593.962133669091,1297.277951092802,101.10541304286971,2996.0610953303685,2979.7911111111116,16.269984219256912,161.984372,144.0,VER
368,-6655.130095218515,1193.3598322095218,-6637.682921977897,1222.1128734070198,33.63244314933326,2998.0644444444433,2988.402222222223,9.662222222220407,164.0,155.0,VER
369,-6664.0,1179.0,-6674.0,1163.0,18.867962264113206,2999.791113196544,2998.724407033295,1.0667061632489094,164.9249984,167.8843712,VER
370,-6711.0,1105.0,-6692.407489082192,1134.0190021924966,34.46424162051049,3008.262926118155,3003.8688888888896,4.39403722926545,169.4250048,174.0,VER
371,-6743.858141672985,1053.9174182491304,-6738.0,1063.0,10.807919093053561,3013.353333333332,3015.055657594744,-1.7023242614118317,172.0,182.8156224,NOR
372,-6817.0,941.0,-6766.143882799882,1018.5321486951019,92.72312946590809,3024.87175241798,3020.491111111112,4.380641306868256,183.8363741090909,187.0,VER
373,-6871.26759089349,858.5870953750352,-6794.0,975.0,139.72202748924326,3037.308888888888,3025.6690928832772,11.639796005610606,196.0,189.8291648,VER
